transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
3-9-2006-163,9,3,هبات,Gifts,هبه,Grant,16-10-2006,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,3162.42,12000000.0,3794.56,,,3,1,0
3-9-2019-2944,9,3,هبات,Gifts,هبه,Grant,13-11-2019,1,أرض,Land,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,209.09,916659.0,4384.04,,,2,4,0
2-13-1999-347,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,22-03-1999,1,أرض,Land,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,1062.72,1200000.0,1129.18,,,1,1,0
2-13-2001-547,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,23-07-2001,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,388,عود ميثا,Oud Metha,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو عود ميثاء,Oud Metha Metro Station,مول دبي,Dubai Mall,,,0,1393.55,3500000.0,2511.57,,,5,1,0
2-13-2020-9477,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,30-11-2020,2,مبنى,Building,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,278.71,2500000.0,8969.9,,,1,1,0
3-9-2002-70,9,3,هبات,Gifts,هبه,Grant,29-05-2002,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,,,0,276.39,500000.0,1809.04,,,1,1,0
1-11-2013-15239,11,1,مبايعات,Sales,بيع,Sell,16-05-2013,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,,,0,382.67,2000000.0,5226.44,,,1,1,0
1-4-2012-13,4,1,مبايعات,Sales,إضافة أرض بالبيع,Adding Land By Sell,19-04-2012,2,مبنى,Building,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,346.81,920700.0,2654.77,,,1,1,0
2-13-1999-532,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,26-04-1999,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,3626.93,1900000.0,523.86,,,1,1,0
1-11-2006-316,11,1,مبايعات,Sales,بيع,Sell,07-03-2006,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,1900000.0,8989.83,,,9,1,0
1-11-2026-121,11,1,مبايعات,Sales,بيع,Sell,05-01-2026,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,232.56,9011000.0,38746.99,,,13,1,0
1-11-2025-37635,11,1,مبايعات,Sales,بيع,Sell,09-09-2025,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.51,13386000.0,63287.79,,,1,1,0
1-11-2025-39861,11,1,مبايعات,Sales,بيع,Sell,25-09-2025,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.34,7400000.0,35014.67,,,3,1,0
2-13-2006-511,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,25-04-2006,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,1300000.0,6150.93,,,1,1,0
3-9-2020-1020,9,3,هبات,Gifts,هبه,Grant,01-06-2020,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,267,الرفاعه,Al Raffa,,,,,,,,برج خليفة,Burj Khalifa,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,,,0,1145.68,28000000.0,24439.63,,,7,1,0
